trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
108,False,"{'a': 0.5, 'e': 0.3362164937067333}",25,0,12.790078240573155,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.33287108369807955}",25,9,5.508165836428493,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.32955896107518906}",25,0,-87.35796844136203,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.32627979462303947}",35,11,0.7730731184613358,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.3230332564222529}",25,0,-87.69061969831456,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 3}",0
113,False,"{'a': 0.5, 'e': 0.31981902181630384}",30,12,-65.42388047050561,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 2}",1
114,False,"{'a': 0.5, 'e': 0.31663676937905316}",20,9,6.8302566690424955,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.3134861808826053}",20,11,-17.19883930407454,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.31036694126548503}",25,0,-9.071369395292754,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.30727873860113125}",30,11,-21.200584404812897,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
118,False,"{'a': 0.5, 'e': 0.3042212640667041}",25,0,-23.569392524583975,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.30119421191220214}",25,0,-50.92945196130157,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.2981972794298874}",25,0,-46.273456029153195,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.2952301669240142}",20,5,-41.8458857068659,"{0: 11, 1: 0, 2: 2, 3: 2, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.2922925776808594}",30,15,10.141388366108433,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.2893842179390506}",25,10,-35.82253203202184,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
124,False,"{'a': 0.5, 'e': 0.2865047968601901}",20,5,13.017988222524384,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2836540264997704}",25,14,-5.245597837018536,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.2808316217783798}",30,0,6.303328205127902,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.27803730045319414}",20,3,-2.6419394291589393,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.27527078308975234}",20,15,-3.2990362289074984,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.2725317930340126}",30,0,-4.726857970228019,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.2698200563846868}",20,2,-29.56419793358034,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
131,False,"{'a': 0.5, 'e': 0.26713530196585034}",20,6,9.306430226712381,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.26447726129982396}",20,0,17.02457288081097,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.261845668580326}",25,3,11.855731106666436,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.2592402606458915}",20,9,2.2187217395567815,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.2566607769535559}",30,0,19.3216680742255,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.25410695955280027}",30,18,9.662319914186812,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.25157855305975646}",20,0,-66.855638714082,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.24907530463166816}",20,9,-0.4452913690915532,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.24659696394160643}",30,12,-4.517346215949308,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.2441432831534371}",20,14,-3.167538952274778,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.24171401689703645}",25,1,8.709250945490508,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.23930892224375455}",25,3,-5.885859345694924,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
143,False,"{'a': 0.5, 'e': 0.23692775868212176}",20,3,-24.980085914740556,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
144,False,"{'a': 0.5, 'e': 0.23457028809379765}",25,11,12.425759912738108,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.23223627472975883}",20,7,11.332681776299996,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.22992548518672384}",25,0,33.05409431405578,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.22763768838381274}",20,7,20.267459958105988,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22537265553943872}",20,4,0.3249158116008726,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,5,3.6014160527394,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.2209099779593782}",35,0,3.986102487760758,"{0: 30, 1: 3, 2: 2, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.21871188695221475}",20,0,-29.616665523451676,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.21653566731600707}",20,0,0.05011517039657942,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.21438110142697794}",30,12,-9.90863763421812,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21224797382674304}",20,6,0.39378397949857535,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21013607120076472}",20,0,-82.78742398721059,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
156,False,"{'a': 0.5, 'e': 0.20804518235702046}",20,5,9.15548733425272,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.20597509820488344}",25,13,7.84881378502537,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20392561173421342}",35,9,-69.85856351743868,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 2}",1
159,False,"{'a': 0.5, 'e': 0.20189651799465538}",35,0,47.42236323483809,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.1998876140751445}",20,10,17.22562176824341,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19789869908361465}",30,22,14.318114313720129,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.19592957412690934}",20,0,-25.918474854682586,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
163,False,"{'a': 0.5, 'e': 0.19398004229089189}",20,0,30.57613274850803,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.19204990862075408}",20,0,10.695268818394089,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.1901389801015205}",30,12,-9.541198705007922,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
166,False,"{'a': 0.5, 'e': 0.1882470656387468}",25,0,10.502527811250234,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.18637397603940997}",30,13,-7.482171498277824,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.18451952399298926}",20,3,24.101871721201338,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18268352405273466}",25,0,-46.57556988084582,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
170,False,"{'a': 0.5, 'e': 0.1808657926171221}",30,14,24.39819616656497,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.17906614791149322}",20,13,12.82031149364962,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17728440996987782}",25,0,12.750783277009408,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.17552040061699686}",25,7,-15.05206880602943,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17377394345044514}",20,0,29.654470328019823,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.17204486382305054}",35,16,-23.84313585853126,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 1}",1
176,False,"{'a': 0.5, 'e': 0.17033298882540943}",25,20,10.206452956392571,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.1686381472685955}",30,8,26.216010759913047,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.1669601696670407}",35,11,-47.024071728326405,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 1}",1
179,False,"{'a': 0.5, 'e': 0.16529888822158653}",20,0,-33.403004636422665,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
180,False,"{'a': 0.5, 'e': 0.16365413680270405}",35,11,-31.61979605790399,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 1}",1
181,False,"{'a': 0.5, 'e': 0.16202575093388075}",25,4,0.31308291608826067,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.16041356777517274}",30,23,13.868701609677007,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.15881742610692068}",30,20,18.395958289038262,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
