trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
193,False,"{'a': 0.8, 'e': 0.14370394977770293}",30,12,10.32279131028378,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
194,False,"{'a': 0.8, 'e': 0.1422740715865136}",20,6,14.87088592905607,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
195,False,"{'a': 0.8, 'e': 0.140858420921045}",25,13,17.84986790585086,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.8, 'e': 0.13945685621505094}",20,0,14.480463886033661,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
197,False,"{'a': 0.8, 'e': 0.13806923731089282}",20,12,13.437475753289315,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.8, 'e': 0.13669542544552385}",20,0,-72.95965669731945,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
199,False,"{'a': 0.8, 'e': 0.1353352832366127}",25,3,30.77190338857743,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.8, 'e': 0.13398867466880493}",25,1,3.4628462105836855,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
201,False,"{'a': 0.8, 'e': 0.13265546508012172}",30,8,30.901447604748398,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.8, 'e': 0.13133552114849303}",20,5,22.077167854434013,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.8, 'e': 0.1300287108784259}",20,11,12.752806978510986,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.8, 'e': 0.12873490358780423}",20,3,26.498926404836045,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.8, 'e': 0.12745396989482075}",20,6,-21.003412533061326,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
206,False,"{'a': 0.8, 'e': 0.12618578170503877}",25,4,32.406283302592776,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
